type,name,rarity,link
shirts,black button-up,2,https://www2.hm.com/en_us/productpage.1251281001.html
shirts,crocheted short sleeve,4,https://www.zara.com/us/en/contrasting-crochet-embroidery-shirt-p07200336.html?v1=368758491 
shirts,scarf shirt,5,https://www.zara.com/us/en/scarf-shirt-x-nanushka-p06942307.html?v1=404018739
shirts,8ball sweater,3,https://www.pacsun.com/wesc-america-inc/leon-magic-8-ball-sweater-0128601830016.html?dwvar_0128601830016_color=065&tileCgid=mens-sweaters
shirts,walmart shirt,1,https://www.walmart.com/ip/Mens-Santa-Jaws-T-Shirt-Cool-Christmas-Gift-Shark-Funny-Graphic-Adult-Humor-Graphic-Tees/176015839?classType=VARIANT&athbdg=L1800&from=/search
pants,beige cargos,3,https://www2.hm.com/en_us/productpage.1260603002.html
pants,velvet shorts,4,https://www.zara.com/us/en/limited-edition-velvet-shorts-p04088501.html?v1=410585851&v2=2432096
pants,grey jeans,2,WeSC America Inc Gray Denim Cargo Pants | PacSun
pants,pink pants,1,https://www.walmart.com/ip/Garanimals-Toddler-Girl-Straight-Leg-Jeans-Sizes-12M-5T/5449144159?classType=VARIANT&from=/search
pants,space pants,5,https://www2.hm.com/en_us/productpage.1174992001.html
shoes,walmart sneakers,1,https://www.walmart.com/ip/Levi-s-Mens-Carter-Synthetic-Leather-Casual-Lace-Up-Sneaker-Shoe/5315521197?classType=VARIANT&athbdg=L1800
shoes,crocs,3,https://www.crocs.com/p/classic-clog/10001.html?cgid=men-footwear&cid=4ST
shoes,converse,2,https://www.converse.com/shop/p/chuck-70-canvas-unisex-high-top-shoe/162056MP.html?dwvar_162056MP_color=black%2Fblack%2Fegret&styleNo=162050C&cgid=mens-shoes
shoes,offwhites,4,https://www.off---white.com/en-us/shopping/whiteblack-out-of-office-20190353?clickref=1101lzZDRQPp&utm_campaign=Offwhite&utm_medium=affiliate&utm_source=laurenlyst
shoes,astro boy shoes,5,https://www.ebay.com/itm/155551631594?chn=ps
